,Fund,Cat. Average,Index
Price/Earnings ,15.64,18.61,—
Price/Book ,2.57,2.88,—
Price/Sales ,2.55,1.98,—
Price/Cash Flow ,12.15,9.20,—
Dividend Yield % ,2.83,1.69,—
Long-Term Earnings % ,10.41,10.42,—
Historical Earnings % ,10.88,8.99,—
Sales Growth % ,9.91,5.87,—
Cash-Flow Growth % ,7.46,5.20,—
Book-Value Growth % ,11.76,9.23,—
