Sectors,Fund %,Category %
Basic Materials,9.66,2.78
Consumer Cyclical,9.69,19.27
Financial Services,46.36,16.81
Real Estate,1.46,2.49
Communication Services,12.40,3.58
Energy,0.00,3.04
Industrials,3.62,6.53
Technology,0.00,33.42
Consumer Defensive,13.57,4.60
Healthcare,1.86,6.41
Utilities,1.39,1.07
