,Values
NAV,"10,292.96"
Open Price,"10,255.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"26,922.0 / 12,412.6"
Day Range,"10,185.00 – 10,345.00"
Year Range,"7,990.00 – 10,835.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.770%
Total Assets,18.5 Bil
