,Values
NAV,"10,574.55"
Open Price,"10,560.00"
Bid / Ask / Spread,"0.00 / 10,800.00 / 0.00%"
Volume / Avg,"691.0 / 2,423.5"
Day Range,"10,495.00 – 10,560.00"
Year Range,"8,455.00 – 11,750.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,1.680%
Total Assets,14.3 Bil
