,Fund,Category,Index
U.S.Stock,0.00,41.01,69.52
Non-U.S.Stock,0.00,46.12,30.48
Bonds,0.00,0.01,0.00
Other,100.00,0.52,0.00
Cash,0.00,32.42,0.00
Not Classified,0.00,0.04,0.00
