,Fund,Cat. Average,Index
Price/Earnings ,—,17.17,20.64
Price/Book ,—,2.04,3.84
Price/Sales ,—,1.37,2.36
Price/Cash Flow ,—,7.78,11.93
Dividend Yield % ,—,1.69,1.48
Long-Term Earnings % ,—,8.11,10.45
Historical Earnings % ,—,12.12,18.19
Sales Growth % ,—,7.65,8.61
Cash-Flow Growth % ,—,13.49,16.51
Book-Value Growth % ,—,7.62,8.68
