,Values
NAV,"19,654.81"
Open Price,"19,540.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"61.0 / 2,621.5"
Day Range,"19,420.00 – 19,605.00"
Year Range,"19,310.00 – 23,575.00"
SEC Yield ,—
12-Month Yield ,2.29%
Premium ,—
Expense Ratio,0.220%
Total Assets,7.5 Bil
