,Values
NAV,"11,848.99"
Open Price,"12,000.00"
Bid / Ask / Spread,"0.00 / 11,930.00 / 0.00%"
Volume / Avg,"45,817.0 / 53,559.4"
Day Range,"11,810.00 – 12,000.00"
Year Range,"9,990.00 – 13,000.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.760%
Total Assets,24.9 Bil
