,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),0.67,0.63,-0.58,6.22,—,—,—,—,—,—,—
Total Return % (NAV),-0.36,0.30,-1.30,5.51,—,—,—,—,—,—,18.49
+/- Category (NAV),-0.33,-0.05,-0.37,0.61,—,—,—,—,—,—,—
+/- Index (NAV),-0.86,1.43,4.90,6.17,—,—,—,—,—,—,—
