,Values
NAV,"9,137.22"
Open Price,"9,125.00"
Bid / Ask / Spread,"9,165.00 / 9,400.00 / 2.53%"
Volume / Avg,"25,689.0 / 59,267.6"
Day Range,"9,105.00 – 9,180.00"
Year Range,"9,015.00 – 11,295.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.490%
Total Assets,13.2 Bil
