,Fund,Cat. Average,Index
Price/Earnings ,—,14.09,—
Price/Book ,—,1.42,—
Price/Sales ,—,0.92,—
Price/Cash Flow ,—,5.44,—
Dividend Yield % ,—,3.83,—
Long-Term Earnings % ,—,10.01,—
Historical Earnings % ,—,10.36,—
Sales Growth % ,—,-18.92,—
Cash-Flow Growth % ,—,10.89,—
Book-Value Growth % ,—,-18.73,—
