,Values
NAV,"7,635.13"
Open Price,"7,660.00"
Bid / Ask / Spread,"7,580.00 / 7,610.00 / 0.39%"
Volume / Avg,200.0 / 34.9
Day Range,"7,660.00 – 7,660.00"
Year Range,"7,590.00 – 9,000.00"
SEC Yield ,—
12-Month Yield ,1.80%
Premium ,—
Expense Ratio,0.370%
Total Assets,19.1 Bil
