,Fund,Cat. Average,Index
Price/Earnings ,6.64,11.02,12.13
Price/Book ,0.84,0.84,0.86
Price/Sales ,0.56,0.53,0.65
Price/Cash Flow ,3.26,3.46,3.66
Dividend Yield % ,3.06,3.08,3.48
Long-Term Earnings % ,12.01,10.07,3.69
Historical Earnings % ,17.74,15.26,14.88
Sales Growth % ,6.07,11.25,4.89
Cash-Flow Growth % ,11.12,16.83,15.05
Book-Value Growth % ,7.64,10.86,8.56
