,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.16,0.00
Non-U.S.Stock,95.41,0.00,95.41,95.78,99.99
Bonds,0.00,0.00,0.00,0.20,0.00
Other,0.00,0.00,0.00,0.80,0.00
Cash,0.41,1.49,1.91,3.21,0.00
Not Classified,4.18,0.00,4.18,1.64,0.01
