,Values
NAV,"17,877.06"
Open Price,"18,275.00"
Bid / Ask / Spread,"17,705.00 / 17,815.00 / 0.62%"
Volume / Avg,"165,240.0 / 252,633.1"
Day Range,"17,695.00 – 18,275.00"
Year Range,"10,555.00 – 21,695.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.660%
Total Assets,236.0 Bil
