Sectors,Fund %,Category %
Basic Materials,7.36,8.70
Consumer Cyclical,8.82,13.65
Financial Services,11.64,11.56
Real Estate,0.00,0.29
Communication Services,2.95,2.34
Energy,2.28,1.96
Industrials,4.48,10.46
Technology,50.77,38.20
Consumer Defensive,5.85,6.64
Healthcare,4.44,4.97
Utilities,1.42,1.23
