,Values
NAV,"17,352.30"
Open Price,"17,330.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"74,591.0 / 36,465.6"
Day Range,"17,115.00 – 17,330.00"
Year Range,"17,070.00 – 20,190.00"
SEC Yield ,—
12-Month Yield ,2.21%
Premium ,—
Expense Ratio,0.350%
Total Assets,89.0 Bil
