,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,-11.52,12.50,1.00,-7.71,-2.89,14.97,29.84,-19.51,-0.84
Fund (NAV),—,—,-11.87,12.68,1.10,-7.82,-2.80,15.00,29.86,-19.50,0.56
+/ Category (NAV),—,—,-1.16,5.70,-0.01,-2.74,-6.82,14.31,7.38,-2.82,5.34
+/- Index (Price),—,—,-2.95,-1.83,-1.52,-0.55,-0.07,1.15,-2.39,-1.87,-1.50
Percentile Rank,—,—,58,7,49,66,86,1,7,83,5
# of Funds in Category,—,996,"1,539","1,737","1,779","1,796","2,103","2,012","2,058","2,015","2,325"
