,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,2.24,—
Non-U.S.Stock,39.37,0.00,39.37,20.22,—
Bonds,60.45,0.00,60.45,52.33,—
Other,0.01,0.00,0.01,8.07,—
Cash,0.17,39.23,39.40,31.90,—
Not Classified,0.00,0.00,0.00,0.57,—
