,Values
NAV,"10,630.39"
Open Price,"10,615.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"1,689.0 / 5,594.4"
Day Range,"10,615.00 – 10,660.00"
Year Range,"9,485.00 – 10,660.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.430%
Total Assets,10.2 Bil
