,Fund,Cat. Average,Index
Price/Earnings ,9.08,13.16,—
Price/Book ,0.89,1.37,—
Price/Sales ,0.59,0.99,—
Price/Cash Flow ,3.66,5.55,—
Dividend Yield % ,3.01,2.80,—
Long-Term Earnings % ,13.62,9.59,—
Historical Earnings % ,13.60,5.23,—
Sales Growth % ,2.33,-3.44,—
Cash-Flow Growth % ,9.21,2.89,—
Book-Value Growth % ,6.37,2.42,—
