,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.03,—
Non-U.S.Stock,198.24,0.54,198.79,620.20,—
Bonds,0.87,0.00,0.87,8.78,—
Other,0.02,0.00,0.02,3.73,—
Cash,-99.13,110.22,11.09,156.79,—
Not Classified,0.00,0.00,0.00,0.10,—
