,Values
NAV,"7,643.37"
Open Price,"7,590.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,26.0 / 208.6
Day Range,"7,590.00 – 7,590.00"
Year Range,"7,520.00 – 9,790.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.580%
Total Assets,6.9 Bil
