,Fund,Cat. Average,Index
Price/Earnings ,5.76,11.02,12.13
Price/Book ,1.03,0.84,0.86
Price/Sales ,0.49,0.53,0.65
Price/Cash Flow ,5.87,3.46,3.66
Dividend Yield % ,1.53,3.08,3.48
Long-Term Earnings % ,12.93,10.07,3.69
Historical Earnings % ,20.14,15.26,14.88
Sales Growth % ,5.61,11.25,4.89
Cash-Flow Growth % ,-8.49,16.83,15.05
Book-Value Growth % ,8.24,10.86,8.56
