,Values
NAV,"8,225.30"
Open Price,"8,180.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"30,019.0 / 19,221.4"
Day Range,"8,140.00 – 8,220.00"
Year Range,"7,795.00 – 11,105.00"
SEC Yield ,—
12-Month Yield ,1.15%
Premium ,—
Expense Ratio,0.340%
Total Assets,9.9 Bil
