,Values
NAV,"111,505.66"
Open Price,"111,565.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"279.0 / 6,225.4"
Day Range,"111,535.00 – 111,635.00"
Year Range,"108,900.00 – 111,670.00"
SEC Yield ,—
12-Month Yield ,0.69%
Premium ,—
Expense Ratio,0.170%
Total Assets,53.5 Bil
