,Values
NAV,"12,672.64"
Open Price,"12,785.00"
Bid / Ask / Spread,"0.00 / 12,795.00 / 0.00%"
Volume / Avg,"40,753.0 / 7,994.9"
Day Range,"12,710.00 – 12,805.00"
Year Range,"9,220.00 – 13,370.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.510%
Total Assets,8.9 Bil
