,Values
NAV,"9,480.81"
Open Price,"9,420.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"399.0 / 32,413.9"
Day Range,"9,380.00 – 9,420.00"
Year Range,"9,360.00 – 11,320.00"
SEC Yield ,—
12-Month Yield ,2.73%
Premium ,—
Expense Ratio,0.310%
Total Assets,33.7 Bil
