,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-16.98,-3.94
Fund (NAV),—,—,—,—,—,—,—,—,—,-17.02,-2.98
+/ Category (NAV),—,—,—,—,—,—,—,—,—,-0.35,1.80
+/- Index (Price),—,—,—,—,—,—,—,—,—,0.65,-4.60
Percentile Rank,—,—,—,—,—,—,—,—,—,44,35
# of Funds in Category,—,—,—,—,—,—,—,—,"2,058","2,015","2,325"
