Sectors,Fund %,Category %
Basic Materials,7.53,8.70
Consumer Cyclical,10.34,13.65
Financial Services,12.42,11.56
Real Estate,0.00,0.29
Communication Services,2.90,2.34
Energy,2.35,1.96
Industrials,9.01,10.46
Technology,41.54,38.20
Consumer Defensive,6.59,6.64
Healthcare,5.39,4.97
Utilities,1.94,1.23
