,Values
NAV,"13,199.52"
Open Price,"13,225.00"
Bid / Ask / Spread,"0.00 / 13,580.00 / 0.00%"
Volume / Avg,"6,130.0 / 14,606.8"
Day Range,"13,075.00 – 13,230.00"
Year Range,"11,125.00 – 15,150.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.510%
Total Assets,15.2 Bil
