,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,-3.73,-1.46,21.95,-2.59,6.53
Fund (NAV),—,—,—,—,—,—,-3.68,-1.41,22.16,-3.60,7.47
+/ Category (NAV),—,—,—,—,—,—,-5.77,-5.01,-8.12,9.29,4.99
+/- Index (Price),—,—,—,—,—,—,-4.72,-4.65,-14.35,-0.48,6.87
Percentile Rank,—,—,—,—,—,—,81,79,81,10,27
# of Funds in Category,—,—,—,—,—,53,65,99,126,146,154
