,Fund,Category,Index
U.S.Stock,0.00,1.31,0.00
Non-U.S.Stock,0.00,91.69,99.94
Bonds,0.00,0.00,0.00
Other,100.00,1.12,0.06
Cash,0.00,7.49,0.00
Not Classified,0.00,0.01,0.00
