,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.03,—
Non-U.S.Stock,151.65,0.00,151.65,620.20,—
Bonds,0.00,0.00,0.00,8.78,—
Other,25.10,0.05,25.15,3.73,—
Cash,-76.75,185.10,108.34,156.79,—
Not Classified,0.00,0.00,0.00,0.10,—
