,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.03,—
Non-U.S.Stock,199.85,0.00,199.85,620.20,—
Bonds,0.00,0.00,0.00,8.78,—
Other,0.00,0.00,0.00,3.73,—
Cash,-99.85,163.48,63.63,156.79,—
Not Classified,0.00,0.00,0.00,0.10,—
