,Values
NAV,"5,029.81"
Open Price,"5,080.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"2,765.0 / 18,211.6"
Day Range,"4,990.00 – 5,080.00"
Year Range,"4,475.00 – 15,585.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.500%
Total Assets,3.8 Bil
