Sectors,Fund %,Category %
Basic Materials,11.47,9.15
Consumer Cyclical,16.06,17.36
Financial Services,17.95,6.02
Real Estate,0.50,1.52
Communication Services,0.41,0.59
Energy,2.88,0.85
Industrials,32.15,14.91
Technology,7.52,23.36
Consumer Defensive,10.06,7.26
Healthcare,0.50,18.74
Utilities,0.51,0.24
