,Fund,Cat. Average,Index
Price/Earnings ,8.73,10.08,10.07
Price/Book ,0.67,1.04,0.93
Price/Sales ,0.31,0.61,0.40
Price/Cash Flow ,3.55,4.44,2.91
Dividend Yield % ,2.65,1.71,2.01
Long-Term Earnings % ,41.53,9.55,10.86
Historical Earnings % ,14.19,2.73,0.53
Sales Growth % ,1.92,-1.44,-3.08
Cash-Flow Growth % ,-2.82,-10.31,-9.25
Book-Value Growth % ,3.94,6.21,2.39
