Sectors,Fund %,Category %
Basic Materials,4.54,3.03
Consumer Cyclical,11.85,17.26
Financial Services,17.40,17.46
Real Estate,3.15,1.25
Communication Services,3.67,2.30
Energy,5.70,3.60
Industrials,11.33,9.33
Technology,17.62,20.73
Consumer Defensive,8.85,10.55
Healthcare,12.58,11.88
Utilities,3.32,2.59
