,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.15,1.84,-3.28,-0.38,13.90,-1.67,8.20,—,—,—,—
Total Return % (NAV),-0.53,-0.65,-3.10,0.92,15.16,-0.75,8.26,—,—,—,5.80
+/- Category (NAV),-0.25,-0.19,-0.93,-0.19,0.08,-0.87,1.34,—,—,—,—
+/- Index (NAV),0.25,-1.56,1.36,1.53,2.89,-0.25,0.06,—,—,—,—
