,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,-1.29,5.33,21.35,-10.27,12.24
Fund (NAV),—,—,—,—,—,—,-0.64,4.62,21.18,-10.50,15.11
+/ Category (NAV),—,—,—,—,—,—,-2.96,0.08,4.89,-0.27,0.72
+/- Index (Price),—,—,—,—,—,—,0.75,-2.89,-2.52,-0.45,1.76
Percentile Rank,—,—,—,—,—,—,76,52,22,49,36
# of Funds in Category,—,—,—,—,—,76,120,185,325,554,587
