,Fund,Category,Index
U.S.Stock,62.38,46.32,53.84
Non-U.S.Stock,37.59,40.30,46.12
Bonds,0.00,0.15,0.00
Other,0.03,0.47,0.04
Cash,0.00,50.75,0.00
Not Classified,0.00,0.03,0.00
