,Values
NAV,"13,053.97"
Open Price,"12,895.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,4.0 / 299.8
Day Range,"12,675.00 – 12,895.00"
Year Range,"10,895.00 – 13,595.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.390%
Total Assets,14.4 Bil
