,Fund,Cat. Average,Index
Price/Earnings ,16.21,17.50,15.86
Price/Book ,2.16,2.56,1.99
Price/Sales ,1.60,1.86,1.45
Price/Cash Flow ,8.09,9.84,7.47
Dividend Yield % ,2.57,2.32,2.64
Long-Term Earnings % ,9.60,8.64,9.11
Historical Earnings % ,9.08,8.29,8.71
Sales Growth % ,4.61,3.60,-17.33
Cash-Flow Growth % ,8.60,5.53,4.42
Book-Value Growth % ,4.63,4.22,4.36
