,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-1.06,-0.31,-7.26,-5.67,-3.21,-10.71,1.74,0.98,—,—,—
Total Return % (NAV),0.20,-0.72,-6.35,-5.89,-2.06,-10.94,2.03,1.34,—,—,2.36
+/- Category (NAV),0.15,-0.54,0.69,2.07,2.72,2.80,3.08,2.07,—,—,—
+/- Index (NAV),-0.12,-0.08,-0.39,-1.41,-2.72,-0.54,-2.40,-1.27,—,—,—
