,Values
NAV,"25,605.19"
Open Price,"25,455.00"
Bid / Ask / Spread,"24,000.00 / 25,335.00 / 5.41%"
Volume / Avg,"184,891.0 / 535,149.1"
Day Range,"25,305.00 – 25,480.00"
Year Range,"25,125.00 – 30,510.00"
SEC Yield ,—
12-Month Yield ,2.76%
Premium ,—
Expense Ratio,0.070%
Total Assets,1.1 Tril
