,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),2.91,5.56,14.75,17.70,11.46,10.20,-7.31,-5.18,—,—,—
Total Return % (NAV),-0.02,4.10,11.82,14.01,8.83,6.06,-8.33,-5.82,—,—,-11.34
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
