,Values
NAV,"3,794.00"
Open Price,"3,865.00"
Bid / Ask / Spread,"3,840.00 / 3,850.00 / 0.26%"
Volume / Avg,"563,632.0 / 179,889.3"
Day Range,"3,835.00 – 3,870.00"
Year Range,"3,195.00 – 3,930.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.750%
Total Assets,47.4 Bil
