Sectors,Fund %,Category %
Basic Materials,10.22,8.70
Consumer Cyclical,0.00,13.65
Financial Services,53.67,11.56
Real Estate,1.38,0.29
Communication Services,0.00,2.34
Energy,8.33,1.96
Industrials,14.79,10.46
Technology,5.81,38.20
Consumer Defensive,5.81,6.64
Healthcare,0.00,4.97
Utilities,0.00,1.23
