,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.74,-2.49,-9.23,-8.96,-9.96,-9.89,1.05,1.64,—,—,—
Total Return % (NAV),0.25,-1.06,-8.86,-8.13,-9.14,-9.32,1.32,1.89,—,—,3.50
+/- Category (NAV),-0.51,-2.54,-1.76,-1.35,-4.27,3.57,2.37,2.86,—,—,—
+/- Index (NAV),0.25,-2.31,-2.66,-4.41,-9.63,0.46,-3.05,-0.53,—,—,—
