,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,30.55,-16.92,-1.91
Fund (NAV),—,—,—,—,—,—,—,—,30.22,-16.85,-1.50
+/ Category (NAV),—,—,—,—,—,—,—,—,7.75,-0.18,3.37
+/- Index (Price),—,—,—,—,—,—,—,—,-1.68,0.72,-2.41
Percentile Rank,—,—,—,—,—,—,—,—,7,40,10
# of Funds in Category,—,—,—,—,—,—,—,"2,012","2,058","2,015","2,284"
