,Values
NAV,"10,440.78"
Open Price,"10,460.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"15.0 / 14,447.6"
Day Range,"10,415.00 – 10,480.00"
Year Range,"10,340.00 – 12,070.00"
SEC Yield ,—
12-Month Yield ,0.87%
Premium ,—
Expense Ratio,0.410%
Total Assets,22.4 Bil
