,Fund,Cat. Average,Index
Price/Earnings ,9.85,11.02,12.13
Price/Book ,0.78,0.84,0.86
Price/Sales ,0.46,0.53,0.65
Price/Cash Flow ,2.90,3.46,3.66
Dividend Yield % ,3.57,3.08,3.48
Long-Term Earnings % ,9.66,10.07,3.69
Historical Earnings % ,6.07,15.26,14.88
Sales Growth % ,6.98,11.25,4.89
Cash-Flow Growth % ,-0.15,16.83,15.05
Book-Value Growth % ,6.93,10.86,8.56
