,Values
Sustainability Rate,Above Average
Percent Rank in Global Category,21%
Historical Sustainability Score,42.46
Global Category,Korea Equity
Portfolio ESG,49.55
Controversy Deduction,8.55
Sustainability Score,41.00
Sustainability Mandate,No
