Sectors,Fund %,Category %
Basic Materials,2.82,8.70
Consumer Cyclical,15.09,13.65
Financial Services,20.52,11.56
Real Estate,0.00,0.29
Communication Services,8.97,2.34
Energy,0.14,1.96
Industrials,8.12,10.46
Technology,28.81,38.20
Consumer Defensive,9.04,6.64
Healthcare,1.51,4.97
Utilities,4.98,1.23
