,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),0.14,0.27,1.05,1.94,3.05,4.53,1.89,2.65,3.70,—,—
Total Return % (NAV),-0.01,0.02,0.90,1.96,2.93,4.45,1.85,2.64,3.71,—,3.60
+/- Category (NAV),-0.01,-0.04,-0.14,-0.10,-0.18,-0.26,0.06,0.23,0.79,—,—
+/- Index (NAV),-0.31,-0.57,-1.41,-2.03,-2.68,-3.95,-1.02,-1.29,-0.94,—,—
