,Values
NAV,"113,038.78"
Open Price,"113,025.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"2,400.0 / 7,846.1"
Day Range,"112,975.00 – 113,060.00"
Year Range,"110,120.00 – 113,165.00"
SEC Yield ,—
12-Month Yield ,1.91%
Premium ,—
Expense Ratio,0.170%
Total Assets,37.3 Bil
