,Values
NAV,"8,933.80"
Open Price,"8,960.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,10.0 / 106.1
Day Range,"8,960.00 – 8,960.00"
Year Range,"8,900.00 – 12,110.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.540%
Total Assets,7.1 Bil
