,Fund,Cat. Average,Index
Price/Earnings ,8.34,13.31,—
Price/Book ,0.66,0.99,—
Price/Sales ,0.26,0.52,—
Price/Cash Flow ,4.81,3.85,—
Dividend Yield % ,2.02,2.16,—
Long-Term Earnings % ,4.96,15.19,—
Historical Earnings % ,-8.12,35.81,—
Sales Growth % ,-1.64,2.99,—
Cash-Flow Growth % ,-23.42,2.81,—
Book-Value Growth % ,8.14,1.55,—
