,Values
NAV,"9,419.76"
Open Price,"9,390.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"2.0 / 5,570.4"
Day Range,"9,380.00 – 9,390.00"
Year Range,"9,070.00 – 11,430.00"
SEC Yield ,—
12-Month Yield ,1.57%
Premium ,—
Expense Ratio,0.500%
Total Assets,6.6 Bil
