,Fund,Cat. Average,Index
Price/Earnings ,8.16,11.02,12.13
Price/Book ,0.72,0.84,0.86
Price/Sales ,0.41,0.53,0.65
Price/Cash Flow ,4.45,3.46,3.66
Dividend Yield % ,2.61,3.08,3.48
Long-Term Earnings % ,16.81,10.07,3.69
Historical Earnings % ,7.92,15.26,14.88
Sales Growth % ,2.09,11.25,4.89
Cash-Flow Growth % ,-2.48,16.83,15.05
Book-Value Growth % ,9.08,10.86,8.56
