Sectors,Fund %,Category %
Basic Materials,23.44,8.70
Consumer Cyclical,26.98,13.65
Financial Services,3.32,11.56
Real Estate,0.00,0.29
Communication Services,0.00,2.34
Energy,3.21,1.96
Industrials,20.02,10.46
Technology,16.62,38.20
Consumer Defensive,6.42,6.64
Healthcare,0.00,4.97
Utilities,0.00,1.23
