,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.64,1.14,-10.38,-9.46,-9.32,-16.56,-1.87,—,—,—,—
Total Return % (NAV),-0.33,0.29,-10.03,-10.23,-8.65,-16.80,-1.69,—,—,—,-0.80
+/- Category (NAV),-0.38,0.47,-2.99,-2.27,-3.87,-3.07,-0.64,—,—,—,—
+/- Index (NAV),-0.65,0.92,-4.07,-5.76,-9.31,-6.41,-6.12,—,—,—,—
