,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),0.13,1.19,6.43,6.88,13.47,12.09,—,—,—,—,—
Total Return % (NAV),0.96,0.54,5.97,7.47,14.03,12.72,—,—,—,—,10.74
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
